,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
761,762,Binance Coin,BNB,2019-08-26 23:59:59,27.0755,25.8583,26.1419,26.1083,277691463.0,4060803662.0
762,763,Binance Coin,BNB,2019-08-27 23:59:59,26.1463,25.0951,26.1239,25.689,196715448.9,3995579226.0
763,764,Binance Coin,BNB,2019-08-28 23:59:59,26.0176,23.689,25.6975,23.7029,206092745.5,3686666048.0
764,765,Binance Coin,BNB,2019-08-29 23:59:59,23.6876,21.8236,23.6876,21.8896,200824072.7,3404637328.0
765,766,Binance Coin,BNB,2019-08-30 23:59:59,22.62,21.6424,21.8896,22.2189,196253457.3,3455847937.0
766,767,Binance Coin,BNB,2019-08-31 23:59:59,22.4407,21.1903,22.212,21.2659,167589166.3,3307630392.0
767,768,Binance Coin,BNB,2019-09-01 23:59:59,21.7835,21.1713,21.2587,21.5687,173772204.7,3354720068.0
768,769,Binance Coin,BNB,2019-09-02 23:59:59,22.8851,21.2037,21.5687,22.7671,237417710.2,3541124996.0
769,770,Binance Coin,BNB,2019-09-03 23:59:59,22.9291,22.3655,22.7608,22.5145,181166380.9,3501837462.0
770,771,Binance Coin,BNB,2019-09-04 23:59:59,22.6722,21.6726,22.5274,21.7963,148909990.7,3390126221.0
771,772,Binance Coin,BNB,2019-09-05 23:59:59,23.5352,21.5731,21.816,22.7611,259054353.0,3540186403.0
772,773,Binance Coin,BNB,2019-09-06 23:59:59,23.4221,21.8195,22.7611,22.1531,240129732.7,3445627920.0
773,774,Binance Coin,BNB,2019-09-07 23:59:59,22.6704,22.0739,22.1448,22.549,203280778.1,3507193557.0
774,775,Binance Coin,BNB,2019-09-08 23:59:59,22.8257,22.3777,22.5692,22.5617,175027324.3,3509171073.0
775,776,Binance Coin,BNB,2019-09-09 23:59:59,22.6507,21.9802,22.569,22.2874,155543677.7,3466507440.0
776,777,Binance Coin,BNB,2019-09-10 23:59:59,22.4123,21.6316,22.286,21.9111,139754245.8,3407987322.0
777,778,Binance Coin,BNB,2019-09-11 23:59:59,22.0391,20.7657,21.9138,20.8993,147044918.6,3250611594.0
778,779,Binance Coin,BNB,2019-09-12 23:59:59,21.0345,19.9618,20.8922,20.9223,202313590.5,3254182239.0
779,780,Binance Coin,BNB,2019-09-13 23:59:59,21.3102,20.6405,20.9347,20.8875,171327680.4,3248767822.0
780,781,Binance Coin,BNB,2019-09-14 23:59:59,21.2002,20.8833,20.898,21.0716,163028906.0,3277404969.0
781,782,Binance Coin,BNB,2019-09-15 23:59:59,21.1336,20.5989,21.0732,20.5989,151856190.1,3203891493.0
782,783,Binance Coin,BNB,2019-09-16 23:59:59,20.9727,20.2047,20.5995,20.3985,143466438.3,3172717473.0
783,784,Binance Coin,BNB,2019-09-17 23:59:59,21.3574,20.2762,20.4037,21.0054,209209107.7,3267105838.0
784,785,Binance Coin,BNB,2019-09-18 23:59:59,22.9018,21.0054,21.0063,22.2554,369440813.9,3461538669.0
785,786,Binance Coin,BNB,2019-09-19 23:59:59,22.4887,20.6337,22.2421,21.6146,249524457.7,3361863927.0
786,787,Binance Coin,BNB,2019-09-20 23:59:59,21.6398,21.0943,21.6322,21.3715,198988736.9,3324048452.0
787,788,Binance Coin,BNB,2019-09-21 23:59:59,21.5407,20.9902,21.3805,21.0822,175114438.4,3279053001.0
788,789,Binance Coin,BNB,2019-09-22 23:59:59,21.0944,20.2551,21.0929,20.5256,153747683.9,3192478010.0
789,790,Binance Coin,BNB,2019-09-23 23:59:59,20.5267,19.4739,20.5267,19.4855,146934616.2,3030706995.0
790,791,Binance Coin,BNB,2019-09-24 23:59:59,19.6273,15.9831,19.4776,16.0677,229488109.3,2499115713.0
791,792,Binance Coin,BNB,2019-09-25 23:59:59,16.5971,15.2044,16.0592,16.2584,179697116.9,2528773872.0
792,793,Binance Coin,BNB,2019-09-26 23:59:59,16.5871,14.8413,16.2587,15.4598,157594803.2,2404567795.0
793,794,Binance Coin,BNB,2019-09-27 23:59:59,15.8244,14.9322,15.4574,15.7903,139548410.0,2455965666.0
