,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1802,1803,Ethereum,ETH,2020-07-14 23:59:59,242.0038,237.7962,239.9756,240.2115,7357458554.7576,26846147251.414
1803,1804,Ethereum,ETH,2020-07-15 23:59:59,241.4027,237.0962,240.1436,238.4235,6189328448.083,26649577378.4206
1804,1805,Ethereum,ETH,2020-07-16 23:59:59,239.0063,231.6212,238.4509,233.6409,5832057567.0275,26118155895.4767
1805,1806,Ethereum,ETH,2020-07-17 23:59:59,234.4151,232.11,233.6914,232.7731,5859850528.6531,26024301468.1744
1806,1807,Ethereum,ETH,2020-07-18 23:59:59,236.544,232.3249,232.8557,235.4838,5397402116.7399,26330601163.8005
1807,1808,Ethereum,ETH,2020-07-19 23:59:59,239.1607,233.2797,235.4583,238.4875,6251377304.5592,26669691075.0983
1808,1809,Ethereum,ETH,2020-07-20 23:59:59,239.5763,234.8526,238.4949,236.1532,5600686192.1785,26411853755.5587
1809,1810,Ethereum,ETH,2020-07-21 23:59:59,246.1863,235.681,236.3025,245.0167,6806696014.6769,27406496758.4107
1810,1811,Ethereum,ETH,2020-07-22 23:59:59,262.985,242.4843,245.0373,262.1907,7702077382.7878,29331058163.6399
1811,1812,Ethereum,ETH,2020-07-23 23:59:59,277.5835,261.0471,262.3886,274.689,10281309261.7956,30733019165.3589
1812,1813,Ethereum,ETH,2020-07-24 23:59:59,286.1928,269.2398,274.7227,279.2154,9466060358.1576,31243266715.6353
1813,1814,Ethereum,ETH,2020-07-25 23:59:59,306.741,279.0264,279.0264,304.0568,10785021812.5683,34027002730.2282
1814,1815,Ethereum,ETH,2020-07-26 23:59:59,316.3863,300.2678,303.6924,309.6436,12003973025.6976,34656472192.7933
1815,1816,Ethereum,ETH,2020-07-27 23:59:59,330.7012,309.6579,309.6579,321.5141,15644257058.4918,35989428748.8012
1816,1817,Ethereum,ETH,2020-07-28 23:59:59,325.906,307.7214,321.8298,316.6573,12357108064.5674,35450097600.2147
1817,1818,Ethereum,ETH,2020-07-29 23:59:59,324.3808,313.1096,316.5554,318.1909,10878845706.0157,35626126751.0425
1818,1819,Ethereum,ETH,2020-07-30 23:59:59,338.6312,315.7511,318.145,334.5866,11827689045.337,37466380887.3341
1819,1820,Ethereum,ETH,2020-07-31 23:59:59,348.6114,329.3409,334.6337,345.5546,12030600491.5271,38699278448.6592
1820,1821,Ethereum,ETH,2020-08-01 23:59:59,388.848,343.5874,345.7986,385.1997,14045259476.5426,43144477508.4031
1821,1822,Ethereum,ETH,2020-08-02 23:59:59,411.2283,357.1436,385.5499,370.6717,18909744275.0564,41522323563.2534
1822,1823,Ethereum,ETH,2020-08-03 23:59:59,396.507,369.3363,371.1339,386.2952,12834648062.1108,43277729882.103
1823,1824,Ethereum,ETH,2020-08-04 23:59:59,400.7006,382.9851,386.1565,389.8755,14086704220.9606,43684129571.5135
1824,1825,Ethereum,ETH,2020-08-05 23:59:59,406.304,386.2185,389.7108,401.5906,12875466638.4325,45002213068.816
1825,1826,Ethereum,ETH,2020-08-06 23:59:59,403.4887,392.6002,401.5839,394.962,11304626458.1089,44264836294.3033
